date,temp,humidity,wind,radiation
20251114,25.7,33.93,0.74,19.05
20251115,24.22,31.11,0.84,20.08
20251116,22.71,27.85,0.8,22.16
20251117,22.38,27.74,0.75,22.27
20251118,22.92,31.27,0.68,22.38
20251119,24.48,32.93,0.63,22.32
20251120,25.5,31.44,0.75,22.62
20251121,25.13,29.47,0.63,22.76
20251122,24.02,24.44,0.71,20.53
20251123,23.37,22.09,0.63,19.15
20251124,23.25,23.39,0.75,22.12
20251125,23.57,25.62,0.72,20.1
20251126,24.51,30.72,0.69,20.1
20251127,25.51,31.45,0.66,21.45
20251128,25.54,30.13,0.77,22.04
20251129,25.57,26.75,0.85,22.03
20251130,25.68,25.25,0.94,21.78
20251201,24.71,26.13,0.85,18.97
20251202,25.02,26.52,0.69,17.71
20251203,25.75,28.26,0.66,20.88
20251204,26.22,27.17,0.6,18.66
20251205,25.82,27.62,0.68,21.06
20251206,24.95,27.45,1.07,20.74
20251207,23.55,22.71,0.93,20.23
20251208,23.25,22.53,0.88,18.82
20251209,23.12,27.1,0.82,17.38
20251210,22.08,29.73,0.75,16.28
20251211,24.05,29.83,0.67,17.17
20251212,25.27,33.8,0.77,19.99
20251213,25.64,33.99,1.02,19.79
20251214,25.2,32.16,1.21,17.6
20251215,23.93,23.96,1.15,17.02
20251216,20.89,26.03,1.11,17.85
20251217,20.57,27.1,1.02,20.06
20251218,21.23,29.3,0.81,21.19
20251219,22.39,27.52,0.79,21.47
20251220,22.57,25.57,0.86,21.63
20251221,22.97,23.8,0.83,21.66
20251222,23.72,21.3,0.8,21.97
20251223,23.75,21.92,0.82,21.97
20251224,24.42,23.54,0.75,21.49
20251225,24.8,24.24,0.81,20.88
20251226,25.16,24.84,0.89,21.35
20251227,25.41,25.29,0.86,20.0
20251228,25.31,24.22,0.96,21.66
20251229,25.17,23.29,1.03,21.78
20251230,25.42,21.84,1.0,21.77
20251231,24.94,20.94,0.95,20.56
